year,total,thermal,hydro,mixed_hydro,pump_hydro,geothermal,wind,solar_thermal,solar,wave,nuclear,other,consumption
1990,2420.0,1060.0,728.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,632.0,0.0,9.2
1991,2420.0,1060.0,728.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,632.0,0.0,8.899999999999999
1992,2420.0,1060.0,728.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,632.0,0.0,8.5
1993,2370.0,1010.0,728.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,632.0,0.0,8.5
1994,2412.0,1020.0,728.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,664.0,0.0,9.2
1995,2407.0,1013.0,730.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,664.0,0.0,9.399999999999999
1996,2384.0,1013.0,707.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,664.0,0.0,9.5
1997,2384.0,1013.0,707.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,664.0,0.0,9.9
1998,2460.0,1013.0,783.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,664.0,0.0,10.1
1999,2465.0,1013.0,788.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,664.0,0.0,10.399999999999999
2000,2428.0,1019.0,753.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,656.0,0.0,10.5
2001,2691.0,1238.0,797.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,656.0,0.0,11.0
2002,2757.0,1257.0,844.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,656.0,0.0,11.7
2003,2784.0,1260.0,868.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,656.0,0.0,12.099999999999998
2004,2782.0,1257.0,869.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,656.0,0.0,12.6
2005,2810.0,1279.0,875.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,656.0,0.0,12.799999999999999
2006,2858.0,1287.0,905.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,666.0,0.0,13.2
2007,2861.0,1289.0,906.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,666.0,0.0,13.299999999999999
2008,2814.0,1234.0,913.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,666.0,0.0,12.799999999999999
2009,2866.0,1242.0,954.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,666.0,0.0,11.299999999999999
2010,3019.0,1204.0,958.0,0.0,180.0,0.0,0.0,0.0,11.0,0.0,666.0,0.0,11.999999999999998
2011,3093.0,1213.0,957.0,0.0,180.0,0.0,0.0,0.0,55.0,0.0,688.0,0.0,12.2
2012,3198.0,1227.0,958.0,0.0,180.0,0.0,0.0,0.0,145.0,0.0,688.0,0.0,12.6
2013,3274.0,1214.0,1003.0,0.0,180.0,0.0,4.0,0.0,185.0,0.0,688.0,0.0,12.7
2014,3286.0,1192.0,1000.0,0.0,180.0,0.0,4.0,0.0,222.0,0.0,688.0,0.0,13.3
2015,3193.0,1086.0,999.0,0.0,180.0,0.0,5.0,0.0,235.0,0.0,688.0,0.0,13.6
2016,3377.0,1272.0,997.0,0.0,180.0,0.0,5.0,0.0,235.0,0.0,688.0,0.0,13.8
2017,3457.673,1285.774,1050.926,0.0,180.0,0.0,4.973,0.0,248.0,0.0,688.0,0.0,14.1
2018,3644.432,1467.478,1047.716,0.0,180.0,0.0,5.238,0.0,256.0,0.0,688.0,0.0,14.4
